What is your biggest problem?,Occupation_Other,District,Month,Gender,Age,Are you satisfied with what NGOs are doing for you after the earthquake?,Are your main problems being addressed?,Are your main problems being addressed2?,What is the top thing that you need information about?,Is support provided in a fair way?,Do_you_have_any_health_problem,C0JS,Date,Ward,Ethnicity_Other,Round,Ethnicity,Occupation
Long term shelter / housing,NA,Okhaldhunga,NA,Male,40 to 54,4 Mostly yes,1 Not at all,6 Don't know,How to register for access support,3 Neutral,No difficulty.,1 Not at all,NA,4,NA,3,Dalit,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,NA,Male,25 to 39,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",1 Not at all,NA,7,NA,3,Tamang,Farmer / Laborer
Long term shelter / housing,Student,Lalitpur,NA,Male,25 to 39,5 Completely yes,1 Not at all,4 Mostly yes,NA,4 Mostly yes,No difficulty.,4 Mostly yes,NA,5,NA,3,Chhetri,Other
Long term shelter / housing,NA,Nuwakot,NA,Male,40 to 54,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",1 Not at all,NA,7,NA,3,Tamang,Farmer / Laborer
Financial support,NA,Okhaldhunga,NA,Male,25 to 39,4 Mostly yes,3 Neutral,3 Neutral,How to register for access support,3 Neutral,No difficulty.,3 Neutral,NA,4,NA,3,Chhetri,Farmer / Laborer
NA,NA,Lalitpur,NA,Female,40 to 54,5 Completely yes,6 Don't know,4 Mostly yes,NA,1 Not at all,No difficulty.,6 Don't know,NA,5,NA,3,Chhetri,Farmer / Laborer
NA,NA,Dhading,NA,Male,40 to 54,3 Neutral,4 Mostly yes,5 Completely yes,NA,4 Mostly yes,No difficulty.,5 Completely yes,NA,5,NA,3,Brahmin,"Government (i.e. teacher, health worker, army)"
Long term shelter / housing,NA,Nuwakot,NA,Male,55+,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",1 Not at all,NA,7,NA,3,Tamang,Farmer / Laborer
Long term shelter / housing,NA,Lalitpur,NA,Male,25 to 39,5 Completely yes,1 Not at all,2 Very little,NA,4 Mostly yes,No difficulty.,4 Mostly yes,NA,5,NA,3,Chhetri,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,NA,Male,40 to 54,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",1 Not at all,NA,2,Not mentioned,3,Other,Farmer / Laborer
Long term shelter / housing,NA,Okhaldhunga,NA,Male,40 to 54,1 Not at all,1 Not at all,3 Neutral,News about government decisions,3 Neutral,No difficulty.,1 Not at all,NA,4,NA,3,Chhetri,Farmer / Laborer
NA,NA,Dhading,NA,Male,25 to 39,3 Neutral,4 Mostly yes,5 Completely yes,NA,5 Completely yes,No difficulty.,5 Completely yes,NA,5,NA,3,Brahmin,Skilled Worker (i.e. Carpenter)
Long term shelter / housing,NA,Nuwakot,NA,Male,40 to 54,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",1 Not at all,NA,2,NA,3,Brahmin,Farmer / Laborer
Education,NA,Lalitpur,NA,Female,15 to 24,5 Completely yes,1 Not at all,1 Not at all,News about government decisions,2 Very little,No difficulty.,1 Not at all,NA,5,NA,3,Tamang,NGO Worker / Business
Long term shelter / housing,NA,Okhaldhunga,NA,Male,40 to 54,3 Neutral,1 Not at all,4 Mostly yes,News about government decisions,3 Neutral,No difficulty.,2 Very little,NA,4,NA,3,Dalit,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,NA,Male,40 to 54,2 Very little,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",1 Not at all,NA,2,NA,3,Brahmin,Farmer / Laborer
Long term shelter / housing,NA,Lalitpur,NA,Male,15 to 24,2 Very little,1 Not at all,1 Not at all,News about government decisions,1 Not at all,No difficulty.,2 Very little,NA,5,NA,3,Tamang,Skilled Worker (i.e. Carpenter)
Long term shelter / housing,NA,Nuwakot,NA,Male,15 to 24,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",1 Not at all,NA,2,NA,3,Brahmin,Farmer / Laborer
Long term shelter / housing,NA,Okhaldhunga,NA,Female,40 to 54,1 Not at all,1 Not at all,3 Neutral,News about government decisions,1 Not at all,No difficulty.,1 Not at all,NA,4,NA,3,Dalit,Farmer / Laborer
Short-term shelter (tent / shelterbox),NA,Nuwakot,NA,Male,25 to 39,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",1 Not at all,NA,2,NA,3,Brahmin,Farmer / Laborer
NA,NA,Lalitpur,NA,Female,25 to 39,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,4 Mostly yes,No difficulty.,4 Mostly yes,NA,4,NA,3,Janajati,"Government (i.e. teacher, health worker, army)"
Long term shelter / housing,NA,Okhaldhunga,NA,Female,40 to 54,5 Completely yes,3 Neutral,4 Mostly yes,NA,4 Mostly yes,No difficulty.,4 Mostly yes,NA,4,NA,3,Chhetri,Farmer / Laborer
NA,NA,Dhading,NA,Female,25 to 39,4 Mostly yes,4 Mostly yes,5 Completely yes,NA,5 Completely yes,No difficulty.,4 Mostly yes,NA,5,NA,3,Brahmin,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,NA,Male,40 to 54,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",1 Not at all,NA,3,NA,3,Brahmin,Farmer / Laborer
Long term shelter / housing,Not mentioned,Nuwakot,NA,Male,55+,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",1 Not at all,NA,3,NA,3,Brahmin,Other
Short-term shelter (tent / shelterbox),NA,Lalitpur,NA,Male,25 to 39,4 Mostly yes,2 Very little,2 Very little,NA,4 Mostly yes,"Yes, some difficulty.",4 Mostly yes,NA,4,NA,3,Brahmin,"Government (i.e. teacher, health worker, army)"
Long term shelter / housing,NA,Okhaldhunga,NA,Male,40 to 54,3 Neutral,3 Neutral,3 Neutral,News about government decisions,3 Neutral,No difficulty.,3 Neutral,NA,8,NA,3,Chhetri,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,NA,Male,25 to 39,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",1 Not at all,NA,3,NA,3,Chhetri,Farmer / Laborer
Long term shelter / housing,NA,Dhading,NA,Female,25 to 39,5 Completely yes,3 Neutral,4 Mostly yes,NA,5 Completely yes,No difficulty.,4 Mostly yes,NA,3,NA,3,Dalit,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,NA,Male,40 to 54,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",1 Not at all,NA,3,NA,3,Brahmin,Farmer / Laborer
NA,NA,Lalitpur,NA,Male,40 to 54,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,4 Mostly yes,No difficulty.,4 Mostly yes,NA,4,NA,3,Janajati,"Government (i.e. teacher, health worker, army)"
Long term shelter / housing,NA,Okhaldhunga,NA,Male,40 to 54,5 Completely yes,3 Neutral,4 Mostly yes,NA,4 Mostly yes,No difficulty.,5 Completely yes,NA,8,NA,3,Chhetri,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,NA,Male,40 to 54,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",1 Not at all,NA,3,NA,3,Brahmin,Farmer / Laborer
Education,NA,Lalitpur,NA,Female,25 to 39,2 Very little,2 Very little,2 Very little,News about government decisions,2 Very little,No difficulty.,2 Very little,NA,4,NA,3,Brahmin,NGO Worker / Business
Long term shelter / housing,NA,Okhaldhunga,NA,Female,40 to 54,3 Neutral,1 Not at all,2 Very little,News about government decisions,3 Neutral,No difficulty.,1 Not at all,NA,8,NA,3,Janajati,Farmer / Laborer
NA,NA,Dhading,NA,Female,25 to 39,5 Completely yes,4 Mostly yes,4 Mostly yes,NA,5 Completely yes,No difficulty.,4 Mostly yes,NA,3,NA,3,Newar,Farmer / Laborer
Long term shelter / housing,Student,Nuwakot,NA,Female,15 to 24,4 Mostly yes,2 Very little,4 Mostly yes,NA,5 Completely yes,No difficulty.,4 Mostly yes,NA,6,NA,3,Brahmin,Other
Housing inspections,NA,Okhaldhunga,NA,Male,55+,4 Mostly yes,1 Not at all,1 Not at all,How to register for access support,5 Completely yes,No difficulty.,1 Not at all,NA,6,NA,3,Janajati,Farmer / Laborer
Food,NA,Nuwakot,NA,Male,55+,2 Very little,1 Not at all,1 Not at all,How to get healthcare psychosocial support,2 Very little,"Yes, a lot of difficulty.",1 Not at all,NA,6,NA,3,Brahmin,Farmer / Laborer
NA,NA,Lalitpur,NA,Male,40 to 54,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,2 Very little,No difficulty.,4 Mostly yes,NA,5,NA,3,Brahmin,NGO Worker / Business
Long term shelter / housing,NA,Nuwakot,NA,Female,40 to 54,2 Very little,2 Very little,2 Very little,NA,2 Very little,No difficulty.,4 Mostly yes,NA,6,NA,3,Brahmin,Farmer / Laborer
Long term shelter / housing,NA,Okhaldhunga,NA,Female,40 to 54,6 Don't know,1 Not at all,3 Neutral,News about government decisions,1 Not at all,"Yes, some difficulty.",2 Very little,NA,8,NA,3,Janajati,Farmer / Laborer
Long term shelter / housing,NA,Dhading,NA,Male,25 to 39,5 Completely yes,3 Neutral,3 Neutral,NA,4 Mostly yes,No difficulty.,5 Completely yes,NA,3,NA,3,Dalit,Skilled Worker (i.e. Carpenter)
NA,NA,Okhaldhunga,NA,Female,40 to 54,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,4 Mostly yes,No difficulty.,4 Mostly yes,NA,5,NA,3,Newar,NGO Worker / Business
Toilets / sanitation,NA,Nuwakot,NA,Male,40 to 54,4 Mostly yes,1 Not at all,2 Very little,NA,2 Very little,No difficulty.,4 Mostly yes,NA,6,NA,3,Brahmin,Farmer / Laborer
NA,NA,Lalitpur,NA,Male,40 to 54,4 Mostly yes,4 Mostly yes,2 Very little,NA,6 Don't know,No difficulty.,4 Mostly yes,NA,4,NA,3,Janajati,NGO Worker / Business
Short-term shelter (tent / shelterbox),NA,Lalitpur,NA,Male,55+,2 Very little,2 Very little,2 Very little,How to get healthcare psychosocial support,2 Very little,No difficulty.,2 Very little,NA,5,NA,3,Brahmin,NGO Worker / Business
Long term shelter / housing,NA,Okhaldhunga,NA,Male,40 to 54,4 Mostly yes,3 Neutral,4 Mostly yes,NA,3 Neutral,"Yes, some difficulty.",4 Mostly yes,NA,8,NA,3,Chhetri,"Government (i.e. teacher, health worker, army)"
Short-term shelter (tent / shelterbox),NA,Nuwakot,NA,Male,40 to 54,2 Very little,2 Very little,2 Very little,NA,2 Very little,No difficulty.,4 Mostly yes,NA,6,NA,3,Brahmin,Farmer / Laborer
NA,NA,Okhaldhunga,NA,Female,25 to 39,1 Not at all,6 Don't know,6 Don't know,NA,6 Don't know,No difficulty.,6 Don't know,NA,5,NA,3,Chhetri,NGO Worker / Business
Long term shelter / housing,NA,Okhaldhunga,NA,Male,40 to 54,7 Refused,1 Not at all,2 Very little,News about government decisions,3 Neutral,No difficulty.,2 Very little,NA,9,NA,3,Chhetri,Farmer / Laborer
NA,NA,Dhading,NA,Male,25 to 39,3 Neutral,4 Mostly yes,3 Neutral,NA,4 Mostly yes,No difficulty.,5 Completely yes,NA,3,NA,3,Newar,"Government (i.e. teacher, health worker, army)"
Education,NA,Nuwakot,NA,Male,15 to 24,5 Completely yes,2 Very little,4 Mostly yes,NA,5 Completely yes,No difficulty.,5 Completely yes,NA,1,NA,3,Brahmin,Farmer / Laborer
NA,NA,Lalitpur,NA,Male,40 to 54,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,6 Don't know,No difficulty.,4 Mostly yes,NA,5,NA,3,Newar,Skilled Worker (i.e. Carpenter)
Healthcare,NA,Lalitpur,NA,Male,55+,2 Very little,1 Not at all,1 Not at all,NA,6 Don't know,"Yes, a lot of difficulty.",4 Mostly yes,NA,5,NA,3,Newar,Farmer / Laborer
NA,NA,Okhaldhunga,NA,Female,25 to 39,1 Not at all,5 Completely yes,5 Completely yes,NA,1 Not at all,No difficulty.,5 Completely yes,NA,5,NA,3,Janajati,NGO Worker / Business
NA,NA,Nuwakot,NA,Female,40 to 54,5 Completely yes,5 Completely yes,5 Completely yes,NA,5 Completely yes,No difficulty.,5 Completely yes,NA,1,NA,3,Brahmin,Farmer / Laborer
NA,NA,Okhaldhunga,NA,Female,15 to 24,6 Don't know,6 Don't know,3 Neutral,How to get shelter materials,3 Neutral,No difficulty.,2 Very little,NA,5,NA,3,Chhetri,NGO Worker / Business
Long term shelter / housing,NA,Okhaldhunga,NA,Male,40 to 54,3 Neutral,2 Very little,3 Neutral,NA,1 Not at all,No difficulty.,4 Mostly yes,NA,9,NA,3,Newar,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,NA,Female,25 to 39,4 Mostly yes,1 Not at all,5 Completely yes,NA,5 Completely yes,No difficulty.,4 Mostly yes,NA,1,NA,3,Brahmin,Farmer / Laborer
Long term shelter / housing,NA,Dhading,NA,Male,40 to 54,4 Mostly yes,3 Neutral,3 Neutral,NA,5 Completely yes,"Yes, some difficulty.",5 Completely yes,NA,3,NA,3,Newar,"Government (i.e. teacher, health worker, army)"
NA,NA,Lalitpur,NA,Female,15 to 24,2 Very little,5 Completely yes,1 Not at all,How to get shelter materials,1 Not at all,"Yes, a lot of difficulty.",2 Very little,NA,5,NA,3,Chhetri,Farmer / Laborer
Clean water,NA,Nuwakot,NA,Female,25 to 39,4 Mostly yes,1 Not at all,5 Completely yes,NA,5 Completely yes,"Yes, some difficulty.",4 Mostly yes,NA,1,NA,3,Brahmin,Farmer / Laborer
Housing inspections,NA,Okhaldhunga,NA,Male,55+,1 Not at all,1 Not at all,1 Not at all,NA,1 Not at all,No difficulty.,4 Mostly yes,NA,6,NA,3,Newar,Farmer / Laborer
Long term shelter / housing,NA,Okhaldhunga,NA,Male,40 to 54,3 Neutral,1 Not at all,3 Neutral,News about government decisions,1 Not at all,No difficulty.,1 Not at all,NA,9,NA,3,Newar,Farmer / Laborer
Long term shelter / housing,NA,Dhading,NA,Male,25 to 39,3 Neutral,3 Neutral,4 Mostly yes,NA,4 Mostly yes,No difficulty.,5 Completely yes,NA,6,NA,3,Brahmin,"Government (i.e. teacher, health worker, army)"
Long term shelter / housing,NA,Lalitpur,NA,Female,55+,4 Mostly yes,2 Very little,5 Completely yes,How to register for access support,4 Mostly yes,"Yes, a lot of difficulty.",3 Neutral,NA,1,NA,3,Chhetri,Farmer / Laborer
Healthcare,NA,Nuwakot,NA,Female,55+,4 Mostly yes,2 Very little,4 Mostly yes,NA,4 Mostly yes,"Yes, a lot of difficulty.",4 Mostly yes,NA,1,NA,3,Brahmin,Farmer / Laborer
NA,NA,Okhaldhunga,NA,Female,25 to 39,4 Mostly yes,5 Completely yes,5 Completely yes,NA,4 Mostly yes,No difficulty.,4 Mostly yes,NA,6,NA,3,Dalit,"Government (i.e. teacher, health worker, army)"
Long term shelter / housing,NA,Nuwakot,NA,Female,55+,4 Mostly yes,2 Very little,2 Very little,News about government decisions,2 Very little,No difficulty.,2 Very little,NA,3,NA,3,Brahmin,Farmer / Laborer
Long term shelter / housing,NA,Lalitpur,NA,Male,55+,4 Mostly yes,2 Very little,5 Completely yes,News about government decisions,6 Don't know,No difficulty.,1 Not at all,NA,1,NA,3,Chhetri,Farmer / Laborer
Long term shelter / housing,NA,Okhaldhunga,NA,Male,40 to 54,3 Neutral,2 Very little,2 Very little,News about government decisions,2 Very little,No difficulty.,1 Not at all,NA,9,NA,3,Newar,Farmer / Laborer
NA,NA,Okhaldhunga,NA,Female,40 to 54,1 Not at all,4 Mostly yes,1 Not at all,NA,2 Very little,No difficulty.,4 Mostly yes,NA,6,NA,3,Gurung,Farmer / Laborer
NA,NA,Dhading,NA,Female,40 to 54,4 Mostly yes,4 Mostly yes,3 Neutral,NA,4 Mostly yes,No difficulty.,5 Completely yes,NA,6,NA,3,Janajati,Farmer / Laborer
Housing inspections,NA,Nuwakot,NA,Male,25 to 39,3 Neutral,3 Neutral,3 Neutral,NA,3 Neutral,No difficulty.,4 Mostly yes,NA,3,NA,3,Tamang,Farmer / Laborer
Long term shelter / housing,NA,Lalitpur,NA,Male,55+,3 Neutral,2 Very little,4 Mostly yes,NA,4 Mostly yes,"Yes, a lot of difficulty.",4 Mostly yes,NA,1,NA,3,Brahmin,Farmer / Laborer
Long term shelter / housing,NA,Okhaldhunga,NA,Female,40 to 54,3 Neutral,3 Neutral,2 Very little,News about government decisions,2 Very little,No difficulty.,2 Very little,NA,9,NA,3,Newar,Farmer / Laborer
NA,Student,Nuwakot,NA,Female,15 to 24,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,4 Mostly yes,No difficulty.,4 Mostly yes,NA,3,NA,3,Brahmin,Other
Long term shelter / housing,NA,Dhading,NA,Male,25 to 39,3 Neutral,3 Neutral,4 Mostly yes,NA,5 Completely yes,No difficulty.,4 Mostly yes,NA,6,NA,3,Dalit,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,NA,Male,25 to 39,2 Very little,2 Very little,2 Very little,NA,2 Very little,No difficulty.,4 Mostly yes,NA,3,NA,3,Brahmin,Skilled Worker (i.e. Carpenter)
Short-term shelter (tent / shelterbox),NA,Okhaldhunga,NA,Female,25 to 39,1 Not at all,1 Not at all,5 Completely yes,NA,1 Not at all,No difficulty.,4 Mostly yes,NA,6,NA,3,Chhetri,Farmer / Laborer
NA,NA,Lalitpur,NA,Female,25 to 39,2 Very little,4 Mostly yes,1 Not at all,How to get shelter materials,1 Not at all,"Yes, some difficulty.",1 Not at all,NA,1,NA,3,Chhetri,Farmer / Laborer
NA,NA,Dhading,NA,Male,25 to 39,4 Mostly yes,4 Mostly yes,5 Completely yes,NA,5 Completely yes,No difficulty.,5 Completely yes,NA,6,NA,3,Janajati,"Government (i.e. teacher, health worker, army)"
Long term shelter / housing,NA,Okhaldhunga,NA,Female,40 to 54,3 Neutral,1 Not at all,3 Neutral,How to register for access support,3 Neutral,No difficulty.,3 Neutral,NA,6,NA,3,Chhetri,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,NA,Male,55+,2 Very little,2 Very little,2 Very little,NA,2 Very little,"Yes, some difficulty.",4 Mostly yes,NA,3,NA,3,Brahmin,Farmer / Laborer
NA,NA,Lalitpur,NA,Male,25 to 39,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,1 Not at all,No difficulty.,4 Mostly yes,NA,6,NA,3,Brahmin,Farmer / Laborer
Long term shelter / housing,NA,Okhaldhunga,NA,Male,40 to 54,3 Neutral,3 Neutral,3 Neutral,How to register for access support,3 Neutral,No difficulty.,3 Neutral,NA,6,NA,3,Chhetri,"Government (i.e. teacher, health worker, army)"
Financial support,NA,Nuwakot,NA,Female,25 to 39,2 Very little,2 Very little,2 Very little,News about government decisions,2 Very little,"Yes, some difficulty.",2 Very little,NA,1,NA,3,Brahmin,Farmer / Laborer
NA,NA,Okhaldhunga,NA,Female,25 to 39,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,4 Mostly yes,No difficulty.,4 Mostly yes,NA,6,NA,3,Dalit,Farmer / Laborer
NA,NA,Nuwakot,NA,Male,40 to 54,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,3 Neutral,No difficulty.,4 Mostly yes,NA,1,NA,3,Brahmin,NGO Worker / Business
Long term shelter / housing,NA,Lalitpur,NA,Male,40 to 54,5 Completely yes,3 Neutral,5 Completely yes,News about government decisions,1 Not at all,No difficulty.,1 Not at all,NA,6,NA,3,Tamang,Farmer / Laborer
Financial support,NA,Okhaldhunga,NA,Male,40 to 54,4 Mostly yes,3 Neutral,3 Neutral,How to register for access support,3 Neutral,No difficulty.,3 Neutral,NA,6,NA,3,Chhetri,Farmer / Laborer
NA,NA,Dhading,NA,Male,25 to 39,4 Mostly yes,4 Mostly yes,5 Completely yes,NA,5 Completely yes,No difficulty.,5 Completely yes,NA,6,NA,3,Janajati,"Government (i.e. teacher, health worker, army)"
Long term shelter / housing,NA,Okhaldhunga,NA,Male,25 to 39,5 Completely yes,1 Not at all,1 Not at all,How to replace personal documentation,1 Not at all,No difficulty.,1 Not at all,NA,8,NA,3,Janajati,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,NA,Male,25 to 39,2 Very little,1 Not at all,2 Very little,How to register for access support,3 Neutral,No difficulty.,2 Very little,NA,1,NA,3,Brahmin,Skilled Worker (i.e. Carpenter)
NA,Volunteer,Lalitpur,NA,Female,25 to 39,5 Completely yes,4 Mostly yes,1 Not at all,News about government decisions,5 Completely yes,No difficulty.,1 Not at all,NA,6,NA,3,Brahmin,Other
Long term shelter / housing,NA,Dhading,NA,Female,40 to 54,5 Completely yes,3 Neutral,4 Mostly yes,NA,5 Completely yes,No difficulty.,5 Completely yes,NA,5,NA,3,Newar,Farmer / Laborer
Long term shelter / housing,NA,Okhaldhunga,NA,Female,40 to 54,3 Neutral,3 Neutral,3 Neutral,How to register for access support,6 Don't know,No difficulty.,2 Very little,NA,6,NA,3,Janajati,Farmer / Laborer
Seeds and fertilizers,NA,Okhaldhunga,NA,Female,15 to 24,4 Mostly yes,1 Not at all,6 Don't know,How to replace personal documentation,1 Not at all,"Yes, some difficulty.",1 Not at all,NA,8,NA,3,Janajati,Farmer / Laborer
NA,NA,Okhaldhunga,NA,Male,25 to 39,1 Not at all,4 Mostly yes,3 Neutral,NA,5 Completely yes,No difficulty.,5 Completely yes,NA,8,NA,3,Janajati,Farmer / Laborer
NA,NA,Lalitpur,NA,Male,40 to 54,4 Mostly yes,4 Mostly yes,5 Completely yes,News about government decisions,1 Not at all,No difficulty.,2 Very little,NA,6,NA,3,Brahmin,Farmer / Laborer
Long term shelter / housing,NA,Okhaldhunga,NA,Female,25 to 39,5 Completely yes,1 Not at all,4 Mostly yes,NA,4 Mostly yes,No difficulty.,4 Mostly yes,NA,8,NA,3,Janajati,Farmer / Laborer
NA,NA,Lalitpur,NA,Female,55+,5 Completely yes,4 Mostly yes,4 Mostly yes,How to register for access support,5 Completely yes,"Yes, some difficulty.",2 Very little,NA,6,NA,3,Chhetri,Farmer / Laborer
Financial support,NA,Okhaldhunga,NA,Male,Refused,3 Neutral,3 Neutral,3 Neutral,How to register for access support,3 Neutral,No difficulty.,3 Neutral,NA,6,NA,3,Chhetri,Farmer / Laborer
Long term shelter / housing,NA,Okhaldhunga,NA,Male,40 to 54,6 Don't know,1 Not at all,1 Not at all,How to register for access support,1 Not at all,No difficulty.,1 Not at all,NA,8,NA,3,Janajati,Farmer / Laborer
Long term shelter / housing,NA,Lalitpur,NA,Male,25 to 39,1 Not at all,1 Not at all,4 Mostly yes,NA,1 Not at all,No difficulty.,4 Mostly yes,NA,4,NA,3,Tamang,Farmer / Laborer
Long term shelter / housing,NA,Okhaldhunga,NA,Female,40 to 54,5 Completely yes,1 Not at all,1 Not at all,NA,1 Not at all,"Yes, some difficulty.",4 Mostly yes,NA,6,NA,3,Brahmin,Farmer / Laborer
NA,NA,Okhaldhunga,NA,Male,55+,3 Neutral,4 Mostly yes,2 Very little,NA,4 Mostly yes,No difficulty.,4 Mostly yes,NA,4,NA,3,Janajati,Farmer / Laborer
NA,NA,Okhaldhunga,NA,Male,25 to 39,5 Completely yes,4 Mostly yes,5 Completely yes,How to get shelter materials,5 Completely yes,No difficulty.,1 Not at all,NA,6,NA,3,Brahmin,Farmer / Laborer
NA,NA,Okhaldhunga,NA,Female,25 to 39,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,4 Mostly yes,No difficulty.,4 Mostly yes,NA,4,NA,3,Janajati,Farmer / Laborer
Toilets / sanitation,NA,Okhaldhunga,NA,Female,40 to 54,5 Completely yes,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",3 Neutral,NA,6,NA,3,Brahmin,Farmer / Laborer
Housing inspections,NA,Okhaldhunga,NA,Female,40 to 54,2 Very little,1 Not at all,1 Not at all,NA,4 Mostly yes,No difficulty.,4 Mostly yes,NA,1,NA,3,Janajati,Farmer / Laborer
Long term shelter / housing,NA,Okhaldhunga,NA,Male,55+,4 Mostly yes,1 Not at all,1 Not at all,How to register for access support,1 Not at all,"Yes, a lot of difficulty.",1 Not at all,NA,6,NA,3,Brahmin,Farmer / Laborer
Toilets / sanitation,NA,Nuwakot,NA,Male,40 to 54,2 Very little,2 Very little,2 Very little,How to get shelter materials,1 Not at all,"Yes, some difficulty.",2 Very little,NA,1,NA,3,Brahmin,"Government (i.e. teacher, health worker, army)"
NA,NA,Okhaldhunga,NA,Female,15 to 24,4 Mostly yes,4 Mostly yes,4 Mostly yes,NA,4 Mostly yes,No difficulty.,4 Mostly yes,NA,4,NA,3,Janajati,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,NA,Male,40 to 54,2 Very little,2 Very little,2 Very little,NA,2 Very little,No difficulty.,4 Mostly yes,NA,8,NA,3,Brahmin,Farmer / Laborer
Healthcare,NA,Okhaldhunga,NA,Female,40 to 54,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",1 Not at all,NA,6,NA,3,Janajati,Farmer / Laborer
Education,NA,Okhaldhunga,NA,Female,15 to 24,6 Don't know,2 Very little,3 Neutral,News about government decisions,6 Don't know,No difficulty.,1 Not at all,NA,4,NA,3,Chhetri,Farmer / Laborer
NA,NA,Okhaldhunga,NA,Female,40 to 54,1 Not at all,4 Mostly yes,1 Not at all,How to register for access support,2 Very little,No difficulty.,2 Very little,NA,1,NA,3,Janajati,Farmer / Laborer
Long term shelter / housing,NA,Nuwakot,NA,Male,55+,2 Very little,2 Very little,2 Very little,How to get shelter materials,1 Not at all,"Yes, some difficulty.",2 Very little,NA,1,NA,3,Brahmin,Farmer / Laborer
Food,NA,Okhaldhunga,NA,Female,25 to 39,6 Don't know,3 Neutral,3 Neutral,News about government decisions,6 Don't know,No difficulty.,1 Not at all,NA,4,NA,3,Chhetri,Farmer / Laborer
NA,NA,Okhaldhunga,NA,Female,15 to 24,2 Very little,4 Mostly yes,4 Mostly yes,NA,4 Mostly yes,No difficulty.,4 Mostly yes,NA,1,NA,3,Janajati,"Government (i.e. teacher, health worker, army)"
Long term shelter / housing,NA,Okhaldhunga,NA,Male,25 to 39,1 Not at all,1 Not at all,2 Very little,News about government decisions,3 Neutral,No difficulty.,2 Very little,NA,9,NA,3,Brahmin,Farmer / Laborer
Long term shelter / housing,NA,Okhaldhunga,NA,Female,55+,1 Not at all,2 Very little,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",1 Not at all,NA,4,NA,3,Brahmin,Farmer / Laborer
Toilets / sanitation,NA,Nuwakot,NA,Male,40 to 54,1 Not at all,1 Not at all,1 Not at all,News about government decisions,1 Not at all,"Yes, some difficulty.",1 Not at all,NA,4,NA,3,Brahmin,Farmer / Laborer
Short-term shelter (tent / shelterbox),NA,Okhaldhunga,NA,Male,55+,6 Don't know,3 Neutral,6 Don't know,NA,6 Don't know,No difficulty.,6 Don't know,NA,3,NA,3,Janajati,"Government (i.e. teacher, health worker, army)"
Food,NA,Okhaldhunga,NA,Female,25 to 39,1 Not at all,3 Neutral,1 Not at all,News about government decisions,6 Don't know,"Yes, some difficulty.",1 Not at all,NA,4,NA,3,Brahmin,Farmer / Laborer
Short-term shelter (tent / shelterbox),NA,Okhaldhunga,NA,Female,15 to 24,2 Very little,3 Neutral,2 Very little,How to get shelter materials,2 Very little,No difficulty.,2 Very little,NA,1,NA,3,Janajati,Farmer / Laborer
